StdMix1_1, Spermidine, C7H19N3, 145.15789762638002
StdMix1_2, Imidazole-4-acetate, C5H6N2O2, 126.04292744752
StdMix1_3, N-Acetyl-D-glucosamine, C8H15NO6, 221.08993721994
StdMix1_4, 1-Naphthylacetic acid, C12H10O2, 186.0680795656
StdMix1_5, Melatonin, C13H16N2O2, 232.12117776891998
StdMix1_6, Phenylhydrazine, C6H8N2, 108.0687482676
StdMix1_7, 4-Aminobenzoate, C7H7NO2, 137.04767847442
StdMix1_8, Nicotinate, C6H5NO2, 123.03202841013999
StdMix1_9, riboflavin, C17H20N4O6, 376.13828439635995
StdMix1_10, Glycerol, C3H8O3, 92.04734412342
StdMix1_11, Inosine, C10H12N4O5, 268.08076951714
StdMix1_12, L-Phenylalanine, C9H11NO2, 165.07897860298
StdMix1_13, L-Leucine, C6H13NO2, 131.09462866726
StdMix1_14, L-Tryptophan, C11H12N2O2, 204.08987764036
StdMix1_15, 2-Phenylglycine, C8H9NO2, 151.0633285387
StdMix1_16, Selenomethionine, C5H11NO2Se, 196.99550040297999
StdMix1_17, L-Methionine, C5H11NO2S, 149.05104929298
StdMix1_18, Guanine, C5H5N5O, 151.049409809
StdMix1_19, Pyridoxine, C8H11NO3, 169.07389322507998
StdMix1_20, L-Valine, C5H11NO2, 117.07897860297999
